briefitem,bibid,systemfolder,objectid,vid,publisher,format,pdf_name,pdf,title,image_name,thumb,image,imageid,measurements,title_alternative,title_original,subject,source_institution,rights,rightsstatement,type,description_physical,note,permanentlink,language,date_modified,date_created,format_original,holding_location,genre,publication_date,Collection,description,short_description,reference_url
"","","","special45","","","image/jpeg","","","Bayfront at Sunset, November 1984","","http://ncf.sobek.ufl.edu/content/NC/F0/00/10/91/00001/Admissions2_234.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special45.html"
"","","","special46","","","image/jpeg","","","Bayfront Campus Aerials, College &amp; Cook Halls, 1992","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/12/00001/Wallace027.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special46.html"
"","","","special47","","","image/jpeg","","","Bayfront Campus Aerials, College &amp; Cook Halls, January 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/16/00001/Wallace042.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special47.html"
"","","","special48","","","image/jpeg","","","Bayfront, June 1988","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/26/00001/WC121.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special48.html"
"","","","special49","","","image/jpeg","","","Bayfront, March 1976","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/24/00001/WC116.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special49.html"
"","","","special50","","","image/jpeg","","","Bayfront, October 1972","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/21/00001/WC113.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special50.html"
"","","","special51","","","image/jpeg","","","Bayview, May 1973","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/25/00001/WC120.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special51.html"
"","","","special52","","","image/jpeg","","","BCE- &quot;A&quot; Beam, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/86/00001/WC251.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special52.html"
"","","","special53","","","image/jpeg","","","Beth Mayberry, February 1978","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/56/00001/SF145.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special53.html"
"","","","special54","","","image/jpeg","","","Bicycles on Campus, May 1998","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/28/00001/Wallace264.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special54.html"
"","","","special55","","","image/jpeg","","","Big Mother, April 1978","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/85/00001/WC245.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special55.html"
"","","","special56","","","image/jpeg","","","Bio Views, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/20/00001/Blue238.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special56.html"
"","","","special57","","","image/jpeg","","","Bonnie Sehenuk, February 1978","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/88/00001/SF243.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special57.html"
