objectid,cdmid,title,format,thumb,images,source,date,creator,subjects,generalnote,sourceofdescription
special203,203,News Release (February 1964),application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/01/00001/News_Release_Feb_1964_New_York_Timesthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/01/00001/News_Release_Feb_1964_New_York_Times.pdf,http://ncf.sobek.ufl.edu/NCF0000101,February 1964,New College of Florida,History;Planning;Records and correspondence,Six page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special204,204,News Release (February 1966),application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/97/00001/News_Release_Feb_1966_Luckethm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/97/00001/News_Release_Feb_1966_Lucke.pdf,http://ncf.sobek.ufl.edu/NCF0000397,February 1966,New College of Florida,History;Planning;Records and correspondence,One page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special205,205,"News Release (February 2, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/48/00001/News_Release_Feb_02_1967_News_Columnthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/48/00001/News_Release_Feb_02_1967_News_Column.pdf,http://ncf.sobek.ufl.edu/NCF0000548,"February 2, 1967",New College of Florida,History;Planning;Records and correspondence,Four page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special206,206,"News Release (February 20, 1966)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/92/00001/News_Release_Feb_20_1966thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/92/00001/News_Release_Feb_20_1966.pdf,http://ncf.sobek.ufl.edu/NCF0000392,"February 20, 1966",New College of Florida,History;Planning;Records and correspondence,Two page news release. Includes one page news release distribution sheet.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special207,207,"News Release (February 20, 1966)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/93/00001/News_Release_Feb_20_1966_Laubythm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/93/00001/News_Release_Feb_20_1966_Lauby.pdf,http://ncf.sobek.ufl.edu/NCF0000393,"February 20, 1966",New College of Florida,History;Planning;Records and correspondence,Four page news release. Includes one page news release distribution sheet.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special208,208,"News Release (February 20, 1966)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/94/00001/News_Release_Feb_20_1966_Valencythm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/94/00001/News_Release_Feb_20_1966_Valency.pdf,http://ncf.sobek.ufl.edu/NCF0000394,"February 20, 1966",New College of Florida,History;Planning;Records and correspondence,Two page news release. Includes one page news release distribution sheet.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special209,209,"News Release (February 20, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/81/00001/News_Release_Feb_20_1968_Brynethm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/81/00001/News_Release_Feb_20_1968_Bryne.pdf,http://ncf.sobek.ufl.edu/NCF0000781,"February 20, 1968",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special210,210,"News Release (February 20, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/82/00001/News_Release_Feb_20_1968_Eunsonthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/82/00001/News_Release_Feb_20_1968_Eunson.pdf,http://ncf.sobek.ufl.edu/NCF0000782,"February 20, 1968",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special211,211,"News Release (February 20, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/83/00001/News_Release_Feb_20_1968_Photo_Captionsthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/83/00001/News_Release_Feb_20_1968_Photo_Captions.pdf,http://ncf.sobek.ufl.edu/NCF0000783,"February 20, 1968",New College of Florida,History;Planning;Records and correspondence,Six page photograph caption.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special212,212,"News Release (February 22, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/64/00001/News_Release_Feb_22_1967_Number_1thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/64/00001/News_Release_Feb_22_1967_Number_1.pdf,http://ncf.sobek.ufl.edu/NCF0000564,"February 22, 1967",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
