objectid,cdmid,title,format,thumb,images,source,date,creator
special576,576,"Science Buildings, May 1973",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/62/00001/EC111.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/62/00001/EC111.jpg,http://ncf.sobek.ufl.edu/NCF0001262,1973,New College of Florida
special577,577,"Scott Svatos, 1992",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP223.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP223.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP224.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP225.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP226.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP227.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP228.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP229.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP230.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP231.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP232.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/62/00001/VBP233.jpg,http://ncf.sobek.ufl.edu/NCF0001562,1992,New College of Florida
special578,578,"Sculpt Studio, Pottery, April 1987",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/16/00001/Blue234.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/16/00001/Blue234.jpg,http://ncf.sobek.ufl.edu/NCF0001216,1987,New College of Florida
special579,579,"Sculpture Dedication, Dean Barylski, October 14, 1987",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/71/00001/Red075.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/71/00001/Red075.jpg,http://ncf.sobek.ufl.edu/NCF0001371,1987,New College of Florida
special580,580,"Sculpture Dedication, Linda Howard, Dean Barylski, October 14, 1987",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red063.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red063.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red064.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red066.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red067.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red068.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red069.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red070.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red071.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red072.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red073.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red074.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red076.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/70/00001/Red080.jpg,http://ncf.sobek.ufl.edu/NCF0001370,1987,New College of Florida
special581,581,"Sculpture Dedication, Linda Howard, October 14, 1987",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/69/00001/Red062.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/69/00001/Red062.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/69/00001/Red065.jpg,http://ncf.sobek.ufl.edu/NCF0001369,1987,New College of Florida
special582,582,"Sculpture Dedication, October 14, 1987",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/72/00001/Red077.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/72/00001/Red077.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/72/00001/Red078.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/72/00001/Red079.jpg,http://ncf.sobek.ufl.edu/NCF0001372,1987,New College of Florida
special583,583,"Sculpture Studio, Interior, April 1987",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/17/00001/Blue235.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/17/00001/Blue235.jpg,http://ncf.sobek.ufl.edu/NCF0001217,1987,New College of Florida
special584,584,"Sculpture Studio, Overview, April 1987",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/22/00001/Blue240.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/22/00001/Blue240.jpg,http://ncf.sobek.ufl.edu/NCF0001222,1987,New College of Florida
special585,585,"Sculpture Studio, The ""Student,"" Purple, April 1987",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/14/18/00001/SF083.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/14/18/00001/SF083.jpg,http://ncf.sobek.ufl.edu/NCF0001418,1987,New College of Florida
